File,Branch,Query,filter,order,engine,embeddings,runtime,memory,eps,exit,Algorithm
run_VEQ_RI_VEQ_Q10-100.txt,elabel,Q10-100,VEQ,RI,VEQ,1,0.0022,0.0002,454.5454545454545,0,VEQ-RI-VEQ
run_DPiso_DPiso_DPiso_Q10-150.txt,elabel,Q10-150,DPiso,DPiso,DPiso,2,0.0004,0.0003,5000.0,0,DPiso-DPiso-DPiso
run_VEQ_RI_VEQ_Q10-50.txt,elabel,Q10-50,VEQ,RI,VEQ,1,0.0011,0.0002,909.090909090909,0,VEQ-RI-VEQ
run_VEQ_RI_VEQ_Q10-150.txt,elabel,Q10-150,VEQ,RI,VEQ,2,0.0012,0.0003,1666.6666666666667,0,VEQ-RI-VEQ
run_CaLiG_RI_KSS_Q10-3.txt,elabel,Q10-3,CaLiG,RI,KSS,2,0.0006,0.0003,3333.3333333333335,0,CaLiG-RI-KSS
run_CaLiG_RI_KSS_Q10-180.txt,elabel,Q10-180,CaLiG,RI,KSS,2,0.0009,0.0002,2222.222222222222,0,CaLiG-RI-KSS
run_GQL_RI_LFTJ_Q10-100.txt,elabel,Q10-100,GQL,RI,LFTJ,1,0.0006,0.0002,1666.6666666666667,0,GQL-RI-LFTJ
run_DPiso_DPiso_DPiso_Q10-50.txt,elabel,Q10-50,DPiso,DPiso,DPiso,1,0.0003,0.0002,3333.3333333333335,0,DPiso-DPiso-DPiso
run_CaLiG_RI_KSS_Q10-150.txt,elabel,Q10-150,CaLiG,RI,KSS,2,0.0007,0.0003,2857.1428571428573,0,CaLiG-RI-KSS
run_CaLiG_RI_KSS_Q10-50.txt,elabel,Q10-50,CaLiG,RI,KSS,1,0.0007,0.0002,1428.5714285714287,0,CaLiG-RI-KSS
run_GQL_RI_LFTJ_Q10-180.txt,elabel,Q10-180,GQL,RI,LFTJ,2,0.0008,0.0002,2500.0,0,GQL-RI-LFTJ
run_CaLiG_RI_KSS_Q10-100.txt,elabel,Q10-100,CaLiG,RI,KSS,1,0.0005,0.0002,2000.0,0,CaLiG-RI-KSS
run_DPiso_DPiso_DPiso_Q10-180.txt,elabel,Q10-180,DPiso,DPiso,DPiso,2,0.0005,0.0002,4000.0,0,DPiso-DPiso-DPiso
run_GQL_RI_LFTJ_Q10-3.txt,elabel,Q10-3,GQL,RI,LFTJ,2,0.0012,0.0003,1666.6666666666667,0,GQL-RI-LFTJ
run_DPiso_DPiso_DPiso_Q10-100.txt,elabel,Q10-100,DPiso,DPiso,DPiso,1,0.0004,0.0002,2500.0,0,DPiso-DPiso-DPiso
run_GQL_RI_LFTJ_Q10-50.txt,elabel,Q10-50,GQL,RI,LFTJ,1,0.0007,0.0002,1428.5714285714287,0,GQL-RI-LFTJ
run_VEQ_RI_VEQ_Q10-3.txt,elabel,Q10-3,VEQ,RI,VEQ,2,0.0014,0.0002,1428.5714285714287,0,VEQ-RI-VEQ
run_VEQ_RI_VEQ_Q10-180.txt,elabel,Q10-180,VEQ,RI,VEQ,2,0.0012,0.0002,1666.6666666666667,0,VEQ-RI-VEQ
run_GQL_RI_LFTJ_Q10-150.txt,elabel,Q10-150,GQL,RI,LFTJ,2,0.0006,0.0003,3333.3333333333335,0,GQL-RI-LFTJ
run_DPiso_DPiso_DPiso_Q10-3.txt,elabel,Q10-3,DPiso,DPiso,DPiso,2,0.0004,0.0002,5000.0,0,DPiso-DPiso-DPiso
